table_name,layer,business_line,business_code,domain,comment
ods_brand_log,ods,职能后台,admin,日志/任务/系统,
ods_brand_region,ods,职能后台,admin,汽车/品牌/车型,
ods_brand_region_community_relation,ods,职能后台,admin,汽车/品牌/车型,
ods_brand_region_relation,ods,职能后台,admin,汽车/品牌/车型,
ods_business_live_detail,ods,直播,live,直播,巨量引擎-直播场次详情表
ods_business_live_list,ods,直播,live,直播,巨量引擎-直播列表场次数据表
ods_business_live_list_qianchuan,ods,直播,live,直播,直播分析-列表场次数据表
ods_business_live_list_v2,ods,直播,live,直播,直播分析-列表场次数据表(V3)
ods_business_live_review_v2,ods,直播,live,直播,巨量引擎直播分析-复盘详情数据表
ods_business_user,ods,职能后台,admin,组织/用户/权限,巨量引擎-企业号账户主要数据
ods_business_video_list,ods,内容创意,content,视频/内容/素材,巨量引擎短视频列表
ods_business_video_list_days,ods,内容创意,content,视频/内容/素材,巨量引擎-短视频每日数据
ods_c_client,ods,销售/商业化,sales,线索/私信/客户,潜在客户
ods_c_client_live,ods,销售/商业化,sales,线索/私信/客户,直播潜力客户
ods_c_client_message,ods,销售/商业化,sales,线索/私信/客户,客户私信消息
ods_c_client_report,ods,销售/商业化,sales,线索/私信/客户,上报的客户信息
ods_c_client_video,ods,销售/商业化,sales,线索/私信/客户,视频潜力客户
ods_c_customer_message_reply,ods,销售/商业化,sales,线索/私信/客户,潜在客户挖掘-私信内容
ods_c_live_client_accurate_option,ods,销售/商业化,sales,线索/私信/客户,精装客户设置
ods_c_live_keyword,ods,销售/商业化,sales,直播,直播潜客关键词
ods_c_live_keyword_var,ods,销售/商业化,sales,直播,直播潜客关键词变量
ods_c_reply_script,ods,销售/商业化,sales,视频/内容/素材,话术表
ods_c_script_industry,ods,销售/商业化,sales,视频/内容/素材,话术行业表
ods_c_video_strategy,ods,销售/商业化,sales,线索/私信/客户,客户视频策略
ods_c_video_strategy_rule,ods,销售/商业化,sales,线索/私信/客户,客户视频策略
ods_car_info,ods,职能后台,admin,汽车/品牌/车型,汽车信息列表，包含车型、品牌、价格、销售状态等信息
ods_car_model_info,ods,职能后台,admin,汽车/品牌/车型,车型信息表
ods_car_model_list,ods,职能后台,admin,汽车/品牌/车型,车辆信息表
ods_car_specs,ods,职能后台,admin,汽车/品牌/车型,车辆规格信息表
ods_checkpoint_blobs,ods,技术研发,tech,日志/任务/系统,
ods_checkpoint_migrations,ods,技术研发,tech,日志/任务/系统,
ods_checkpoint_writes,ods,技术研发,tech,日志/任务/系统,
ods_checkpoints,ods,技术研发,tech,未分类,
ods_city,ods,职能后台,admin,未分类,
ods_clue_management_list,ods,销售/商业化,sales,线索/私信/客户,巨量引擎线索管理列表
ods_clue_manager,ods,销售/商业化,sales,线索/私信/客户,
ods_conf_bot_instance,ods,职能后台,admin,AI/知识库/机器人,机器人实例信息
ods_conf_brand,ods,职能后台,admin,汽车/品牌/车型,汽车品牌
ods_conf_brand_new,ods,职能后台,admin,汽车/品牌/车型,汽车品牌
ods_conf_brand_store_address,ods,职能后台,admin,门店/经销商/POI,品牌全国门店地址
ods_conf_city,ods,职能后台,admin,未分类,地区表
ods_conf_clue_allocation,ods,销售/商业化,sales,线索/私信/客户,线索分配表
ods_conf_db_version,ods,职能后台,admin,未分类,数据库版本表
ods_conf_douyin_hot,ods,职能后台,admin,视频/内容/素材,素材表
ods_conf_douyin_hot_creator_data,ods,职能后台,admin,达人/作者,热门达人数据表
ods_conf_douyin_hot_detail,ods,职能后台,admin,视频/内容/素材,素材明细表
ods_conf_douyin_hot_live_data,ods,职能后台,admin,直播,热门直播数据表
ods_conf_douyin_hot_video_data,ods,职能后台,admin,视频/内容/素材,热门视频数据表
ods_conf_flow_group,ods,投流/投放,traffic,组织/用户/权限,优化师部门表
ods_conf_industry,ods,职能后台,admin,未分类,行业表
ods_conf_lock,ods,职能后台,admin,未分类,同步锁表
ods_conf_model_house,ods,内容创意,content,汽车/品牌/车型,车型库信息
ods_conf_organization,ods,职能后台,admin,组织/用户/权限,组织表
ods_conf_region,ods,职能后台,admin,未分类,地域表
ods_conf_series,ods,职能后台,admin,汽车/品牌/车型,车系
ods_conf_store,ods,本地通,xdbdt,门店/经销商/POI,门店表
ods_conf_store_0411,ods,本地通,xdbdt,门店/经销商/POI,
ods_conf_sys_news,ods,职能后台,admin,组织/用户/权限,系统最新动态
ods_conf_user_guide,ods,职能后台,admin,组织/用户/权限,用户指南
ods_conf_watch_level,ods,职能后台,admin,未分类,观场等级评级
ods_conf_watch_speed,ods,职能后台,admin,未分类,观场流速评级
ods_coze_process,ods,技术研发,tech,AI/知识库/机器人,coze过程表
ods_data_autoengine_account_rankings,ods,投流/投放,traffic,组织/用户/权限,巨懂车账号排行商机数据表
ods_data_autoengine_cnr_cost,ods,投流/投放,traffic,门店/经销商/POI,巨懂车CNR政策看板门店成本数据
ods_data_autoengine_enterprises,ods,投流/投放,traffic,未分类,巨懂车企业号列表
ods_data_business_account,ods,投流/投放,traffic,组织/用户/权限,巨量引擎账户信息数据表
ods_data_business_log,ods,投流/投放,traffic,日志/任务/系统,巨量引擎账户操作日志表
ods_data_business_material_list,ods,投流/投放,traffic,视频/内容/素材,巨量引擎素材管理（视频）详细信息表
ods_data_business_ocean_bidding,ods,投流/投放,traffic,广告/投放,巨量引擎竞价数据表
ods_data_business_organization,ods,投流/投放,traffic,组织/用户/权限,巨量引擎组织信息表
ods_data_business_promotion_daily,ods,投流/投放,traffic,广告/投放,巨量引擎广告每日数据报表
ods_data_business_summary,ods,投流/投放,traffic,未分类,巨量引擎账户信息数据表
ods_data_douyin_account_org_info,ods,职能后台,admin,组织/用户/权限,巨懂车-抖音账户组织信息表
ods_data_douyin_comment,ods,内容创意,content,视频/内容/素材,抖音视频评论表（主评论+子评论）
ods_data_douyin_comment_log,ods,内容创意,content,日志/任务/系统,评论抓取执行日志
ods_data_douyin_dealer_manage_list,ods,职能后台,admin,门店/经销商/POI,巨懂车经销商列表管理信息
ods_data_douyin_employee_account_detail,ods,职能后台,admin,广告/投放,巨懂车-抖音营销-图表管理-员工号明细
ods_data_douyin_im_account_daily,ods,职能后台,admin,线索/私信/客户,巨懂车-私信矩阵排行日常数据表
ods_data_douyin_lin_ke,ods,达人,talent,达人/作者,抖音林客达人信息表
ods_data_douyin_live_account,ods,直播,live,直播,抖音直播专业版_账户Cookie管理
ods_data_douyin_live_comment,ods,直播,live,直播,抖音直播专业版_直播弹幕评论表
ods_data_douyin_live_list_daily,ods,直播,live,直播,巨懂车-主机厂直播场次榜单明细列表
ods_data_douyin_live_performance_detail,ods,直播,live,直播,巨懂车-抖音直播场次性能明细
ods_data_douyin_live_review,ods,直播,live,直播,抖音直播专业版_直播复盘列表及数据
ods_data_douyin_live_screen,ods,直播,live,直播,直播数据大屏-主表(核心指标汇总)
ods_data_douyin_live_screen_comment,ods,直播,live,直播,直播数据大屏-弹幕评论
ods_data_douyin_live_screen_explanation,ods,直播,live,直播,直播数据大屏-商品讲解时段
ods_data_douyin_live_screen_product,ods,直播,live,直播,直播数据大屏-商品明细
ods_data_douyin_live_screen_product_trend,ods,直播,live,直播,直播数据大屏-商品分钟级趋势
ods_data_douyin_live_screen_trend,ods,直播,live,直播,直播数据大屏-分钟级趋势
ods_data_douyin_live_screen_video_drainage,ods,直播,live,直播,直播数据大屏-短视频引流
ods_data_douyin_live_video_ai_analysis,ods,直播,live,直播,抖音直播视频AI分析结果表
ods_data_douyin_live_video_analysis_illegal,ods,直播,live,直播,直播视频AI违规词明细表
ods_data_douyin_live_video_analysis_result,ods,直播,live,直播,直播视频AI分析结果表
ods_data_douyin_video_finish_rate_stat,ods,内容创意,content,视频/内容/素材,巨懂车-短视频完播率统计明细
ods_data_douyin_video_finish_rate_stat_test,ods,内容创意,content,视频/内容/素材,巨懂车-短视频完播率统计明细(测试表)
ods_data_douyin_video_performance_detail,ods,内容创意,content,视频/内容/素材,巨懂车-经销商抖音短视频表现及商机全景明细表
ods_data_douyin_video_performance_detail_delta,ods,内容创意,content,视频/内容/素材,巨懂车-经销商抖音短视频表现及商机全景明细表（每日新增增量）
ods_data_life_douyin_trade_detail,ods,本地生活,local_life,订单交易,平台：抖音来客 数据来源：订单管理(新)-交易查询-成交明细
ods_data_life_douyin_verify_detail,ods,本地生活,local_life,订单交易,平台：抖音来客 数据来源：订单管理(新)-交易查询-核销明细
ods_data_linke_author_credit_info,ods,达人,talent,达人/作者,抖音林客达人基础信息表（抖音林客-达人详情-基础信息）
ods_data_linke_author_live_data,ods,达人,talent,直播,抖音林客达人直播带货全量统计数据表（抖音林客-达人详情-直播视频）
ods_data_linke_author_page,ods,达人,talent,达人/作者,抖音林客达人列表信息（抖音林客分页查询）
ods_data_linke_author_sales_data,ods,达人,talent,达人/作者,达人带货数据统计表(抖音林客-达人运营-达人详情-数据概览)
ods_data_linke_author_video_data,ods,达人,talent,视频/内容/素材,达人带货视频统计数据详情表（抖音林客-达人详情-视频数据）
ods_data_linke_author_wide,ods,达人,talent,达人/作者,抖音林客达人全维度大宽表（5表合一）
ods_data_local_ads_material,ods,投流/投放,traffic,视频/内容/素材,本地推_标准投放_素材级_数据明细表
ods_data_local_ads_material_test,ods,投流/投放,traffic,视频/内容/素材,巨量本地推素材投放明细-路径(巨量本地推-标准投放-素材列表)
ods_data_local_ads_order_detail,ods,投流/投放,traffic,订单交易,本地推_标准投放_单元级_成单明细表
ods_data_local_ads_poi_ad_stats,ods,投流/投放,traffic,广告/投放,本地推_门店全域_单元级_投放明细表
ods_data_local_ads_poi_order_detail,ods,投流/投放,traffic,订单交易,本地推_门店全域_单元级_成单明细表
ods_data_local_ads_project_stats,ods,投流/投放,traffic,广告/投放,本地推_标准投放_项目级_数据明细表
ods_data_local_ads_promotion_detail,ods,投流/投放,traffic,广告/投放,本地推_标准投放_单元级_投放明细表
ods_data_oceanengine_local_accounts,ods,投流/投放,traffic,广告/投放,巨量本地推投放账户数据列表;路径（投放-广告投放-巨量本地推投放数据-账户列表）
ods_data_optimizer_roster,ods,投流/投放,traffic,未分类,优化师与巨量引擎账户名单总表
ods_data_syj_crowd_chart,ods,内容创意,content,未分类,生意经-人群-人群资产-图表核心数据表
ods_data_syj_crowd_overview,ods,内容创意,content,汽车/品牌/车型,生意经-人群-核心概览大盘数据表(每天每品牌一行)
ods_data_syj_live,ods,直播,live,直播,抖音生意经-直播间数据列表(路径:流量-内容经营-直播分析-直播列表)
ods_data_syj_talent_video,ods,达人,talent,视频/内容/素材,抖音生意经流量达人视频-路径(流量-内容经营-视频分析-达人视频列表)
ods_data_syj_video_traffic_analysis,ods,内容创意,content,视频/内容/素材,生意经-视频分析-流量转化核心指标表
ods_data_tag_list,ods,内容创意,content,未分类,巨量引擎标签列表信息表
ods_data_tag_management,ods,内容创意,content,未分类,巨量引擎标签管理信息表
ods_data_tag_management_summary,ods,内容创意,content,未分类,巨量引擎标签管理汇总统计表
ods_data_video_material_info,ods,内容创意,content,视频/内容/素材,视频素材信息表
ods_data_xt_author_all_video,ods,达人,talent,视频/内容/素材,作者全量视频数据表（巨量星图-达人详情-创作能力--全部视频）
ods_data_xt_author_base_info,ods,达人,talent,达人/作者,达人主信息详情表(巨量星图-达人基础信息)
ods_data_xt_author_content_distribution,ods,达人,talent,视频/内容/素材,达人内容兴趣分布表(巨量星图-达人详情-连接用户-连接用户来源)
ods_data_xt_author_cost_metrics,ods,达人,talent,达人/作者,达人投放成本指标表(巨量星图-达人详情-商业报价-性价比/效果预估)
ods_data_xt_author_credit_data,ods,达人,talent,订单交易,达人信用分&订单能力数据表(巨量星图-达人详情-履约能力-履约能力分析)
ods_data_xt_author_funnel_data,ods,达人,talent,达人/作者,"达人漏斗转化数据表（巨量星图-达人详情-连接用户-连接用户分布,连接用户漏斗）"
ods_data_xt_author_latest_video,ods,达人,talent,视频/内容/素材,作者最新视频数据表（巨量星图-达人详情-创作能力-最新15个视频表现柱状图）
ods_data_xt_author_link_fans_stat,ods,达人,talent,日志/任务/系统,"达人粉丝统计总表（巨量星图-达人详情-连接用户-连接用户趋势（存在历史趋势,需要取最新的一条,坐标时间是当前日期往后推一个月的日期量,若取值中无对应的日期即为0值展示））"
ods_data_xt_author_page,ods,达人,talent,达人/作者,达人信息表(巨量星图-达人信息分页查询)
ods_data_xt_author_portrait_distribution,ods,达人,talent,达人/作者,达人用户画像分布明细表（巨量星图-达人详情-连接用户-连接用户画像）
ods_data_xt_author_price_info,ods,达人,talent,达人/作者,达人服务报价信息表(巨量星图-达人详情-商业报价-达人服务报价)
ods_data_xt_author_search_metrics,ods,达人,talent,达人/作者,达人搜索指标表(巨量星图-达人详情-商业报价-种草价值)
ods_data_xt_author_video_metrics,ods,达人,talent,视频/内容/素材,达人视频指标表(巨量星图-达人详情-商业报价-传播价值)
ods_datafxp_datafxp_t_role,ods,职能后台,admin,组织/用户/权限,角色表
ods_datafxp_datafxp_t_user,ods,职能后台,admin,组织/用户/权限,用户表
ods_datafxp_t_user_operation_his,ods,职能后台,admin,组织/用户/权限,用户操作记录表
ods_dealer_store,ods,本地通,xdbdt,门店/经销商/POI,
ods_dealer_store_account,ods,本地通,xdbdt,门店/经销商/POI,
ods_dealer_store_operation_record,ods,本地通,xdbdt,门店/经销商/POI,
ods_del_data_business_creative_material,ods,投流/投放,traffic,视频/内容/素材,巨量引擎创意素材分析数据表
ods_dyapp_clue_project,ods,销售/商业化,sales,线索/私信/客户,抖音小程序线索收集项目
ods_dyapp_clue_project_dealer,ods,销售/商业化,sales,线索/私信/客户,抖音小程序线索收集品牌经销商
ods_dyapp_clue_project_info,ods,销售/商业化,sales,线索/私信/客户,抖音小程序线索收集品牌线索
ods_dyapp_clue_project_series,ods,销售/商业化,sales,线索/私信/客户,抖音小程序线索收集品牌车型
ods_feedback,ods,技术研发,tech,未分类,
ods_flyway_schema_history,ods,职能后台,admin,日志/任务/系统,
ods_g_check_item_detail,ods,技术研发,tech,AI/知识库/机器人,ai智能检测明细
ods_g_check_item_image,ods,技术研发,tech,AI/知识库/机器人,ai智能检测-图片
ods_g_check_keyword,ods,技术研发,tech,AI/知识库/机器人,ai智能检测
ods_g_check_process,ods,技术研发,tech,AI/知识库/机器人,ai智能检测进程
ods_g_group,ods,职能后台,admin,组织/用户/权限,组织架构关系，树结构
ods_g_group_info,ods,职能后台,admin,组织/用户/权限,group root相关信息
ods_g_user,ods,职能后台,admin,组织/用户/权限,集团用户表
ods_guest_info,ods,职能后台,admin,未分类,
ods_highlight_info,ods,内容创意,content,未分类,
ods_his_user_login,ods,职能后台,admin,日志/任务/系统,用户登录历史表
ods_home_address_info,ods,本地通,xdbdt,未分类,店铺地址信息
ods_home_core,ods,直播,live,直播,直播涨粉量
ods_im_car_synonym,ods,职能后台,admin,线索/私信/客户,私信车型同义词
ods_im_config,ods,职能后台,admin,线索/私信/客户,私信配置信息
ods_im_intention,ods,职能后台,admin,线索/私信/客户,私信客户意图
ods_im_keyword_config,ods,职能后台,admin,线索/私信/客户,私信关键词配置
ods_im_match_reply,ods,职能后台,admin,线索/私信/客户,私信回复内容
ods_im_match_type,ods,职能后台,admin,线索/私信/客户,私信匹配类型
ods_im_message_category,ods,职能后台,admin,线索/私信/客户,私信分类表
ods_im_message_common,ods,职能后台,admin,线索/私信/客户,私信常用话术表
ods_im_message_conf_store,ods,本地通,xdbdt,线索/私信/客户,门店私信配置表
ods_im_message_doc_his,ods,职能后台,admin,日志/任务/系统,门店私信训练历史表
ods_im_message_fail_reason,ods,职能后台,admin,线索/私信/客户,私信发送失败原因
ods_im_message_package,ods,职能后台,admin,线索/私信/客户,私信话术包表
ods_im_message_package_store,ods,本地通,xdbdt,线索/私信/客户,门店私信话术包表
ods_im_message_question,ods,职能后台,admin,线索/私信/客户,私信话术包表
ods_im_message_question_edit,ods,职能后台,admin,线索/私信/客户,自定义私信话术包表
ods_im_message_repeat,ods,职能后台,admin,线索/私信/客户,客户私信重复消息
ods_im_message_sys_answer,ods,职能后台,admin,线索/私信/客户,系统私信话术包
ods_im_message_type,ods,职能后台,admin,线索/私信/客户,私信消息类型
ods_im_store_one_key_clue,ods,本地通,xdbdt,线索/私信/客户,私信一键留资配置
ods_im_store_reply,ods,本地通,xdbdt,线索/私信/客户,门店自定义回复内容
ods_im_touch_plan,ods,职能后台,admin,线索/私信/客户,主动触达计划表
ods_im_user,ods,职能后台,admin,线索/私信/客户,私信客户信息
ods_im_user_follow,ods,职能后台,admin,线索/私信/客户,客户跟进信息
ods_im_user_his,ods,职能后台,admin,线索/私信/客户,
ods_im_user_message,ods,职能后台,admin,线索/私信/客户,客户私信记录
ods_im_user_message_202501,ods,职能后台,admin,线索/私信/客户,
ods_im_user_message_202502,ods,职能后台,admin,线索/私信/客户,
ods_im_user_message_202503,ods,职能后台,admin,线索/私信/客户,
ods_im_user_message_202504,ods,职能后台,admin,线索/私信/客户,
ods_im_user_message_202505,ods,职能后台,admin,线索/私信/客户,
ods_im_user_message_202506,ods,职能后台,admin,线索/私信/客户,
ods_im_user_message_202507,ods,职能后台,admin,线索/私信/客户,
ods_im_user_message_202508,ods,职能后台,admin,线索/私信/客户,
ods_im_user_message_202509,ods,职能后台,admin,线索/私信/客户,
ods_im_user_message_240506,ods,职能后台,admin,线索/私信/客户,
ods_im_user_message_240709,ods,职能后台,admin,线索/私信/客户,
ods_im_user_message_241012,ods,职能后台,admin,线索/私信/客户,
ods_im_user_message_his,ods,职能后台,admin,线索/私信/客户,
ods_im_user_message_temp,ods,职能后台,admin,线索/私信/客户,
ods_im_wechat_black_list,ods,职能后台,admin,线索/私信/客户,私信线索微信黑名单
ods_intention_user_list,ods,销售/商业化,sales,线索/私信/客户,巨量引擎抖音高潜用户列表
ods_jihu_dealer_info,ods,职能后台,admin,门店/经销商/POI,极狐经销商基础信息表
ods_jihu_dealer_level_config,ods,职能后台,admin,门店/经销商/POI,经销商等级配置表
ods_jihu_dealer_match,ods,职能后台,admin,门店/经销商/POI,经销商ID与简称匹配表
ods_jihu_dealer_performance_metrics,ods,职能后台,admin,门店/经销商/POI,经销商绩效指标配置表（全局目标值）
ods_jihu_month_config,ods,职能后台,admin,未分类,月份配置表
ods_kb_data_source,ods,职能后台,admin,AI/知识库/机器人,
ods_kb_data_source_group,ods,职能后台,admin,组织/用户/权限,
ods_kb_doc_ref_log,ods,职能后台,admin,日志/任务/系统,
ods_kb_document,ods,职能后台,admin,AI/知识库/机器人,
ods_kb_knowledge_base,ods,职能后台,admin,AI/知识库/机器人,
ods_kb_knowledge_base_dept,ods,职能后台,admin,组织/用户/权限,
ods_kb_prompt_item,ods,职能后台,admin,AI/知识库/机器人,
ods_kb_prompt_knowledge_base,ods,职能后台,admin,AI/知识库/机器人,
ods_kb_prompt_question,ods,职能后台,admin,AI/知识库/机器人,
ods_kb_prompt_question_dept,ods,职能后台,admin,组织/用户/权限,
ods_kb_quick_question,ods,职能后台,admin,AI/知识库/机器人,
ods_kb_quick_question_dept,ods,职能后台,admin,组织/用户/权限,
ods_kb_quick_question_knowledge_base,ods,职能后台,admin,AI/知识库/机器人,
ods_leads_live_metrics,ods,销售/商业化,sales,直播,巨量引擎直播列表
ods_leads_video_detail,ods,销售/商业化,sales,视频/内容/素材,巨量引擎短视频详情表
ods_leads_video_metrics,ods,销售/商业化,sales,视频/内容/素材,巨量引擎短视频列表
ods_live_business_keyword,ods,直播,live,直播,直播间弹幕业务关键词
ods_live_comment,ods,直播,live,直播,直播弹幕信息表
ods_live_comment_history,ods,直播,live,日志/任务/系统,直播弹幕历史表_20260330迁移
ods_live_comment_historys,ods,直播,live,直播,直播弹幕信息表
ods_live_comment_old,ods,直播,live,直播,直播弹幕信息表
ods_live_info,ods,直播,live,直播,
ods_live_metrics,ods,直播,live,直播,抖音直播数据
ods_live_overview,ods,直播,live,直播,
ods_live_real,ods,直播,live,直播,直播实时数据表
ods_live_screen_clue,ods,销售/商业化,sales,线索/私信/客户,线索分析表
ods_live_topic_blacklist,ods,直播,live,直播,直播间弹幕话题黑名单
ods_lumax_agent_run,ods,职能后台,admin,日志/任务/系统,
ods_lumax_api_key,ods,职能后台,admin,AI/知识库/机器人,
ods_lumax_banned_word,ods,职能后台,admin,AI/知识库/机器人,
ods_lumax_banned_word_category,ods,职能后台,admin,AI/知识库/机器人,
ods_lumax_banned_word_trigger,ods,职能后台,admin,AI/知识库/机器人,
ods_lumax_brand,ods,职能后台,admin,汽车/品牌/车型,
ods_lumax_conversation,ods,职能后台,admin,AI/知识库/机器人,
ods_lumax_conversation_message,ods,职能后台,admin,线索/私信/客户,
ods_lumax_dict_item,ods,职能后台,admin,AI/知识库/机器人,
ods_lumax_dict_type,ods,职能后台,admin,AI/知识库/机器人,
ods_lumax_feedback,ods,职能后台,admin,AI/知识库/机器人,
ods_lumax_knowledge_base,ods,职能后台,admin,AI/知识库/机器人,
ods_lumax_knowledge_base_document,ods,职能后台,admin,AI/知识库/机器人,
ods_lumax_llm_model,ods,职能后台,admin,汽车/品牌/车型,
ods_lumax_llm_model_price_tier,ods,职能后台,admin,汽车/品牌/车型,
ods_lumax_partner_enterprise,ods,职能后台,admin,AI/知识库/机器人,
ods_lumax_plan_config,ods,职能后台,admin,AI/知识库/机器人,
ods_lumax_quota_alert,ods,职能后台,admin,AI/知识库/机器人,
ods_lumax_quota_operation,ods,职能后台,admin,AI/知识库/机器人,
ods_lumax_store,ods,职能后台,admin,门店/经销商/POI,
ods_lumax_subscription,ods,职能后台,admin,AI/知识库/机器人,
ods_lumax_token_consumption,ods,职能后台,admin,AI/知识库/机器人,
ods_lumax_usage_daily_stats,ods,职能后台,admin,AI/知识库/机器人,
ods_lumax_usage_monthly_stats,ods,职能后台,admin,AI/知识库/机器人,
ods_lumax_user_ext,ods,职能后台,admin,组织/用户/权限,
ods_lumax_user_quota,ods,职能后台,admin,组织/用户/权限,
ods_lumax_user_quota_dept,ods,职能后台,admin,组织/用户/权限,
ods_lumax_users,ods,职能后台,admin,AI/知识库/机器人,
ods_notification,ods,职能后台,admin,未分类,
ods_ocean_local_operation_bid_analysis_detail,ods,投流/投放,traffic,广告/投放,
ods_ocean_local_operation_log,ods,投流/投放,traffic,日志/任务/系统,
ods_ocean_local_project,ods,投流/投放,traffic,广告/投放,
ods_ocean_local_project_create_record,ods,投流/投放,traffic,广告/投放,
ods_ocean_local_project_detail,ods,投流/投放,traffic,广告/投放,
ods_ocean_local_promotion,ods,投流/投放,traffic,广告/投放,
ods_ocean_local_promotion_detail,ods,投流/投放,traffic,广告/投放,
ods_ocean_local_report_account,ods,投流/投放,traffic,广告/投放,
ods_ocean_local_report_material,ods,投流/投放,traffic,视频/内容/素材,
ods_ocean_local_report_project,ods,投流/投放,traffic,广告/投放,
ods_ocean_local_report_promotion,ods,投流/投放,traffic,广告/投放,
ods_oceanengine_tokens,ods,投流/投放,traffic,未分类,巨量引擎OAuth2.0令牌存储表
ods_optimizer_account,ods,投流/投放,traffic,组织/用户/权限,
ods_optimizer_store,ods,投流/投放,traffic,门店/经销商/POI,
ods_ord_laike_trade_detail,ods,本地生活,local_life,订单交易,
ods_org_user_login_history,ods,职能后台,admin,日志/任务/系统,集团用户登录历史记录
ods_org_user_operation_log,ods,职能后台,admin,日志/任务/系统,用户操作记录
ods_organization_info,ods,职能后台,admin,组织/用户/权限,
ods_pm_product,ods,职能后台,admin,未分类,产品信息
ods_pm_product_1225,ods,职能后台,admin,未分类,
ods_pm_series_car,ods,职能后台,admin,汽车/品牌/车型,车型库
ods_resource_audit_fail_log,ods,内容创意,content,日志/任务/系统,素材审核失败记录表
ods_resource_library,ods,内容创意,content,视频/内容/素材,素材库
ods_resource_result_dict,ods,内容创意,content,视频/内容/素材,素材库智能检测字典
ods_rp_data,ods,职能后台,admin,线索/私信/客户,私信每天数据
ods_rp_group,ods,职能后台,admin,组织/用户/权限,集团报表数据
