note_id,account_id,note_title,content_type,publish_time,keyword_main,topic,product_id,kol_id,source_type,note_url,created_at
note_0022,acct_main_001,防晒衣：实测分享,short_video,2026-06-18 09:15:00,防晒衣,效率提升,prod_004,,organic,https://www.xiaohongshu.com/explore/mock_0022,2026-07-14 15:47:24
note_0023,acct_main_001,通勤包：新手必看,live_replay,2026-07-09 18:45:00,通勤包,新手指南,prod_006,,ad,https://www.xiaohongshu.com/explore/mock_0023,2026-07-14 15:47:24
note_0024,acct_main_001,通勤包：实测分享,image_text,2026-06-20 22:30:00,通勤包,效率提升,prod_006,kol_001,kol_coop,https://www.xiaohongshu.com/explore/mock_0024,2026-07-14 15:47:24
note_0025,acct_main_001,夏季穿搭：实测分享,image_text,2026-07-13 17:30:00,夏季穿搭,新手指南,prod_004,,organic,https://www.xiaohongshu.com/explore/mock_0025,2026-07-14 15:47:24
note_0026,acct_main_001,夏季穿搭：高收藏清单,image_text,2026-06-24 21:30:00,夏季穿搭,新手指南,prod_002,,organic,https://www.xiaohongshu.com/explore/mock_0026,2026-07-14 15:47:24
note_0027,acct_main_001,收纳好物：高收藏清单,image_text,2026-07-10 19:45:00,收纳好物,夏日生活,prod_006,,organic,https://www.xiaohongshu.com/explore/mock_0027,2026-07-14 15:47:24
note_0028,acct_main_001,收纳好物：实测分享,live_replay,2026-07-05 20:00:00,收纳好物,好物分享,prod_003,,organic,https://www.xiaohongshu.com/explore/mock_0028,2026-07-14 15:47:24
note_0029,acct_main_001,AI学习：实测分享,short_video,2026-06-19 10:45:00,AI学习,新手指南,prod_001,,organic,https://www.xiaohongshu.com/explore/mock_0029,2026-07-14 15:47:24
note_0030,acct_main_001,AI学习：新手必看,image_text,2026-06-22 19:15:00,AI学习,夏日生活,prod_006,,ad,https://www.xiaohongshu.com/explore/mock_0030,2026-07-14 15:47:24
note_0031,acct_main_001,防晒衣：高收藏清单,image_text,2026-06-29 18:00:00,防晒衣,好物分享,prod_004,,organic,https://www.xiaohongshu.com/explore/mock_0031,2026-07-14 15:47:24
note_0032,acct_main_001,收纳好物：实测分享,image_text,2026-07-03 20:15:00,收纳好物,好物分享,prod_003,,organic,https://www.xiaohongshu.com/explore/mock_0032,2026-07-14 15:47:24
note_0033,acct_main_001,AI学习：新手必看,image_text,2026-07-07 12:15:00,AI学习,新手指南,prod_001,kol_005,kol_coop,https://www.xiaohongshu.com/explore/mock_0033,2026-07-14 15:47:24
note_0034,acct_main_001,夏季穿搭：实测分享,live_replay,2026-06-21 12:15:00,夏季穿搭,好物分享,prod_002,,organic,https://www.xiaohongshu.com/explore/mock_0034,2026-07-14 15:47:24
note_0035,acct_main_001,低卡晚餐：新手必看,short_video,2026-06-21 19:45:00,低卡晚餐,好物分享,prod_002,kol_004,kol_coop,https://www.xiaohongshu.com/explore/mock_0035,2026-07-14 15:47:24
note_0036,acct_main_001,低卡晚餐：实测分享,short_video,2026-07-04 09:45:00,低卡晚餐,效率提升,prod_004,,organic,https://www.xiaohongshu.com/explore/mock_0036,2026-07-14 15:47:24
note_0037,acct_main_001,AI学习：高收藏清单,live_replay,2026-06-19 15:15:00,AI学习,好物分享,prod_005,,organic,https://www.xiaohongshu.com/explore/mock_0037,2026-07-14 15:47:24
note_0038,acct_main_001,防晒衣：高收藏清单,live_replay,2026-07-14 11:45:00,防晒衣,好物分享,prod_003,kol_008,kol_coop,https://www.xiaohongshu.com/explore/mock_0038,2026-07-14 15:47:24
note_0039,acct_main_001,AI学习：高收藏清单,image_text,2026-07-12 18:00:00,AI学习,通勤穿搭,prod_005,,organic,https://www.xiaohongshu.com/explore/mock_0039,2026-07-14 15:47:24
note_0040,acct_main_001,防晒衣：高收藏清单,live_replay,2026-06-24 08:45:00,防晒衣,通勤穿搭,prod_005,kol_012,kol_coop,https://www.xiaohongshu.com/explore/mock_0040,2026-07-14 15:47:24
note_0041,acct_main_001,夏季穿搭：新手必看,image_text,2026-07-09 13:30:00,夏季穿搭,夏日生活,prod_006,,ad,https://www.xiaohongshu.com/explore/mock_0041,2026-07-14 15:47:24
note_0042,acct_main_001,通勤包：实测分享,image_text,2026-07-03 21:45:00,通勤包,新手指南,prod_001,kol_012,kol_coop,https://www.xiaohongshu.com/explore/mock_0042,2026-07-14 15:47:24
note_0043,acct_main_001,低卡晚餐：实测分享,image_text,2026-06-29 19:15:00,低卡晚餐,好物分享,prod_005,,organic,https://www.xiaohongshu.com/explore/mock_0043,2026-07-14 15:47:24
note_0044,acct_main_001,夏季穿搭：新手必看,short_video,2026-07-02 20:30:00,夏季穿搭,效率提升,prod_006,,ad,https://www.xiaohongshu.com/explore/mock_0044,2026-07-14 15:47:24
note_0045,acct_main_001,通勤包：实测分享,short_video,2026-06-18 08:30:00,通勤包,通勤穿搭,prod_004,,ad,https://www.xiaohongshu.com/explore/mock_0045,2026-07-14 15:47:24
note_0046,acct_main_001,收纳好物：高收藏清单,image_text,2026-07-14 11:00:00,收纳好物,新手指南,prod_004,,organic,https://www.xiaohongshu.com/explore/mock_0046,2026-07-14 15:47:24
note_0047,acct_main_001,夏季穿搭：高收藏清单,image_text,2026-06-24 10:15:00,夏季穿搭,效率提升,prod_005,,ad,https://www.xiaohongshu.com/explore/mock_0047,2026-07-14 15:47:24
note_0048,acct_main_001,收纳好物：新手必看,short_video,2026-07-07 16:00:00,收纳好物,通勤穿搭,prod_003,,organic,https://www.xiaohongshu.com/explore/mock_0048,2026-07-14 15:47:24
note_0049,acct_main_001,防晒衣：高收藏清单,image_text,2026-06-15 13:00:00,防晒衣,夏日生活,prod_003,kol_006,kol_coop,https://www.xiaohongshu.com/explore/mock_0049,2026-07-14 15:47:24
note_0050,acct_main_001,收纳好物：避坑指南,image_text,2026-06-29 11:15:00,收纳好物,夏日生活,prod_005,kol_006,kol_coop,https://www.xiaohongshu.com/explore/mock_0050,2026-07-14 15:47:24
note_0051,acct_main_001,收纳好物：实测分享,short_video,2026-07-10 19:00:00,收纳好物,效率提升,prod_006,kol_003,kol_coop,https://www.xiaohongshu.com/explore/mock_0051,2026-07-14 15:47:24
note_0052,acct_main_001,收纳好物：避坑指南,short_video,2026-06-27 17:15:00,收纳好物,新手指南,prod_002,kol_010,kol_coop,https://www.xiaohongshu.com/explore/mock_0052,2026-07-14 15:47:24
note_0053,acct_main_001,AI学习：避坑指南,live_replay,2026-06-15 21:15:00,AI学习,夏日生活,prod_004,,organic,https://www.xiaohongshu.com/explore/mock_0053,2026-07-14 15:47:24
note_0054,acct_main_001,低卡晚餐：实测分享,short_video,2026-07-04 10:30:00,低卡晚餐,新手指南,prod_004,kol_004,kol_coop,https://www.xiaohongshu.com/explore/mock_0054,2026-07-14 15:47:24
note_0055,acct_main_001,夏季穿搭：避坑指南,short_video,2026-07-10 13:00:00,夏季穿搭,好物分享,prod_001,,organic,https://www.xiaohongshu.com/explore/mock_0055,2026-07-14 15:47:24
note_0056,acct_main_001,防晒衣：避坑指南,short_video,2026-07-05 20:15:00,防晒衣,好物分享,prod_005,,ad,https://www.xiaohongshu.com/explore/mock_0056,2026-07-14 15:47:24
note_0057,acct_main_001,夏季穿搭：避坑指南,image_text,2026-06-23 17:00:00,夏季穿搭,通勤穿搭,prod_001,,organic,https://www.xiaohongshu.com/explore/mock_0057,2026-07-14 15:47:24
note_0058,acct_main_001,AI学习：高收藏清单,image_text,2026-07-03 09:45:00,AI学习,好物分享,prod_004,,ad,https://www.xiaohongshu.com/explore/mock_0058,2026-07-14 15:47:24
note_0059,acct_main_001,低卡晚餐：高收藏清单,image_text,2026-06-18 12:00:00,低卡晚餐,效率提升,prod_005,,organic,https://www.xiaohongshu.com/explore/mock_0059,2026-07-14 15:47:24
note_0060,acct_main_001,夏季穿搭：避坑指南,short_video,2026-06-30 17:30:00,夏季穿搭,通勤穿搭,prod_005,,organic,https://www.xiaohongshu.com/explore/mock_0060,2026-07-14 15:47:24
